"id","site","title","company","location","date_posted","job_url","is_remote","min_amount","max_amount","currency"
"in-b930a0c17ca56091","indeed","Data Scientist / GenAI /LLM (IT) / Freelance","PICKMEUP","FR","2025-11-12","https://fr.indeed.com/viewjob?jk=b930a0c17ca56091",True,"","",""
"in-dc2230dfc7c2d3aa","indeed","Data Analyst - Qlik Sense - Rennes","Argain Consulting Innovation","Rennes, A2, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=dc2230dfc7c2d3aa",False,"","",""
"in-6a5bbe8bad91d927","indeed","Senior Data Scientist - Gen AI - Finance (h/f) (IT) / Freelance","Emagine Consulting","Paris, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=6a5bbe8bad91d927",False,"","",""
"in-fe628f9448870ef2","indeed","Data Analyst","VISIAN","Paris, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=fe628f9448870ef2",False,"","",""
"in-e35e002ee5a9c799","indeed","Analyste de données (H/F)","Université Paris 8","Saint-Denis, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=e35e002ee5a9c799",False,"","",""
"in-98175f6ed9c564a0","indeed","Data scientist Actuaire (F/H) - stage","AXA / France","Marseille, B8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=98175f6ed9c564a0",False,"","",""
"in-d0587fdc6b310ea4","indeed","Data Scientist EU4HEALTH","Santé Publique France","Saint-Maurice, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=d0587fdc6b310ea4",False,"","",""
"in-6585c41c097f55f6","indeed","Data Analyst Data Ops H/F","FOKUS","Lyon, ARA, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=6585c41c097f55f6",False,"","",""
"in-b4de830c8dbed015","indeed","Senior Data Scientist - Carpool","BlaBlaCar","Paris, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=b4de830c8dbed015",True,"","",""
"in-40476fc89f75cdf0","indeed","Data Scientist","Silamir","Paris, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=40476fc89f75cdf0",False,"","",""
"in-f61ce7194c9d11ad","indeed","DATA ANALYSTE CONTENUS JEUNESSE","Kéoni Consulting","Paris, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=f61ce7194c9d11ad",False,"","",""
"in-ab03235e733e6b2d","indeed","Data Analysts H/F – Junior / Confirmé / Senior","OMICRONE","Paris, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=ab03235e733e6b2d",False,"","",""
"in-ad6c450ad960d24c","indeed","Junior Data Scientist - IA Factory | CDI | H/F","PwC","Neuilly-sur-Seine, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=ad6c450ad960d24c",False,"","",""
"in-199d1e31faec0151","indeed","Data Analyst H/F","Groupement Mousquetaires","Châtillon, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=199d1e31faec0151",True,"","",""
"in-b44af1e91b699b55","indeed","Stage - 6 mois - Analyste de Données Financières F/H","Natixis","Paris, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=b44af1e91b699b55",False,"","",""
"in-0f61ab227834684c","indeed","Data Scientist / Consultant IA junior","Siconsulting","Paris, A8, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=0f61ab227834684c",False,"","",""
"in-08fcd70edbfe7f80","indeed","Data scientist pour projet CAP IA","Inria","Talence, NA, FR","2025-11-12","https://fr.indeed.com/viewjob?jk=08fcd70edbfe7f80",False,"","",""
