"id","site","title","company","location","date_posted","job_url","is_remote","min_amount","max_amount","currency"
"li-4335534541","linkedin","Développeur Full Stack Senior (Java JEE / Angular)","Sopra Steria","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4335534541",False,"","",""
"li-4340013409","linkedin","Data Engineer confirmé avec une solide maîtrise de Java","Talentwide","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4340013409",False,"","",""
"li-4340032135","linkedin","Senior Software engineer (Java/JEE )","mnc.aero","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4340032135",False,"","",""
"li-4335535656","linkedin","Stage PFE- Ingénieur QA","Inetum","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4335535656",False,"","",""
"li-4317562902","linkedin","VPS Engineer","Valeo","Enfidha, Sousse, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4317562902",False,"","",""
"li-4339792990","linkedin","Développeur Senior Java (F/H)","Mobelite Tunisie","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4339792990",False,"","",""
"li-4321974451","linkedin","Senior Développeur Back-End JAVA 17 ou plus","Devoteam","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4321974451",False,"","",""
"li-4321894555","linkedin","Développeur Senior Angular","Devoteam","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4321894555",False,"","",""
"li-4335425812","linkedin","Stage PFE-Consultant Intégration H/F","Inetum","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4335425812",False,"","",""
"li-4339762967","linkedin","Senior Full-Stack Developer","Addvocate.ai","Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4339762967",False,"","",""
"li-4335525676","linkedin","Stage PFE-Consultant Intégration H/F","Inetum","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4335525676",False,"","",""
"li-4339904236","linkedin","Senior Backend Engineer (Node.js / NestJS) – On-site Contract","Drest.tn","Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4339904236",False,"","",""
"li-4321865441","linkedin","Development Engineers – ABAP/SAPUI5/RAP/CAP/BTP","Focus Corporation","Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4321865441",False,"","",""
"li-4335435931","linkedin","Stage PFE-Consultant SAGE SXA H/F","Inetum","Tunis, Tunis, Tunisia","2025-11-11","https://www.linkedin.com/jobs/view/4335435931",False,"","",""
"li-4339722674","linkedin","AI Engineer — LLMs, Agents & RAG H/F","EY","Tunis, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4339722674",False,"","",""
"li-4339633184","linkedin","DevSecOps Engineer H/F","EY","Tunis, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4339633184",False,"","",""
"li-4335262601","linkedin","Frontend Developer","Zembra","Tunis, Tunis, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4335262601",False,"","",""
"li-4314277865","linkedin","Ingénieur DevOps/Ingénieure DevOps","DECADE","Sousse, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4314277865",False,"","",""
"li-4339712815","linkedin","Full Stack Developer H/F","EY","Tunis, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4339712815",False,"","",""
"li-4335121927","linkedin","Data Engineer senior /Architecte Data","DATABIZ","Tunis, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4335121927",False,"","",""
"li-4335155973","linkedin","Full Stack Developer (React / Node.js / AI Integration)","PhotoCarb","Sousse, Sousse, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4335155973",False,"","",""
"li-4335213674","linkedin","Senior DevOps Observability Engineer","CBTW IT & Technology / Positive Thinking Company","Tunis, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4335213674",False,"","",""
"li-4339553668","linkedin","Data Engineer GCP H/F","EY","Tunis, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4339553668",False,"","",""
"li-4321698402","linkedin","Technical Lead -Embedded SW Developer-","Capgemini Engineering","Tunis, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4321698402",False,"","",""
"li-4339711034","linkedin","HPC Software Stack Build Automation","ReDX Technologies","Sfax, Sfax, Tunisia","2025-11-10","https://www.linkedin.com/jobs/view/4339711034",False,"","",""
"li-4334919254","linkedin","Full Stack Engineer","PhotoCarb","Sousse, Sousse, Tunisia","2025-11-09","https://www.linkedin.com/jobs/view/4334919254",False,"","",""
"li-4305776644","linkedin","VPS Engineer","Valeo","Enfidha, Sousse, Tunisia","2025-11-08","https://www.linkedin.com/jobs/view/4305776644",False,"","",""
"li-4339516662","linkedin","Associate Software Engineer","ADP","Tunis, Tunis, Tunisia","2025-11-08","https://www.linkedin.com/jobs/view/4339516662",False,"","",""
"li-4334855928","linkedin","Azure Infrastructure Engineer","Blauwtrust Groep","Tunis, Tunisia","2025-11-07","https://www.linkedin.com/jobs/view/4334855928",False,"","",""
"li-4334734418","linkedin","Data Scientist Alternance","Faurecia","Tunis, Tunis, Tunisia","2025-11-07","https://www.linkedin.com/jobs/view/4334734418",False,"","",""
"li-4338014576","linkedin","Junior UX/UI Designer H/F","EY","Tunis, Tunisia","2025-11-07","https://www.linkedin.com/jobs/view/4338014576",False,"","",""
"li-4314571833","linkedin","Launch Engineer","Visteon Corporation","Bir El Bey, Ben Arous, Tunisia","2025-11-07","https://www.linkedin.com/jobs/view/4314571833",False,"","",""
"li-4334845848","linkedin","Senior IT Systems Engineer","Marquardt Tunisia","El Agba, Tunis, Tunisia","2025-11-07","https://www.linkedin.com/jobs/view/4334845848",False,"","",""
"li-4334495738","linkedin","Site Reliability Engineer (SRE) – Relocation to Portugal – English & French","Aubay Portugal","Tunis, Tunisia","2025-11-06","https://www.linkedin.com/jobs/view/4334495738",False,"","",""
"li-4334498129","linkedin","Power Platform Developer - Relocation to Portugal","Aubay Portugal","","2025-11-06","https://www.linkedin.com/jobs/view/4334498129",False,"","",""
"li-4315810459","linkedin","Data Scientist/ML Engineer","Linedata","Tunis, Tunis, Tunisia","2025-11-06","https://www.linkedin.com/jobs/view/4315810459",False,"","",""
"li-4334166177","linkedin","Windows System Engineer","RGI Group","Tunis, Tunisia","2025-11-05","https://www.linkedin.com/jobs/view/4334166177",False,"","",""
"li-4320760026","linkedin","Cloud Solution Architect (Relocation to Spain)","Talan","Tunis, Tunis, Tunisia","2025-11-04","https://www.linkedin.com/jobs/view/4320760026",False,"","",""
"li-4312298853","linkedin","System Engineer","QuantHouse","Tunis, Tunisia","2025-11-04","https://www.linkedin.com/jobs/view/4312298853",False,"","",""
"li-4320409752","linkedin","Consultant senior/Consultante senior","Wimbee","Tunis, Tunisia","2025-11-04","https://www.linkedin.com/jobs/view/4320409752",False,"","",""
"li-4337307786","linkedin","Digital Business Analyst","Acabes Tunisia","Tunis, Tunis, Tunisia","2025-11-04","https://www.linkedin.com/jobs/view/4337307786",False,"","",""
"li-4320762748","linkedin","Business Application Integration Administrator","ODDO BHF","Tunis, Tunisia","2025-11-04","https://www.linkedin.com/jobs/view/4320762748",False,"","",""
"li-4334201087","linkedin","Software Engineer","Capgemini","Ariana, Ariana, Tunisia","2025-11-04","https://www.linkedin.com/jobs/view/4334201087",False,"","",""
"li-4320663315","linkedin","Stages PFE 2026","Gravitas","Tunis, Tunis, Tunisia","2025-11-04","https://www.linkedin.com/jobs/view/4320663315",False,"","",""
"li-4333989595","linkedin","Stages PFE 2026","Loansquare","Tunis, Tunis, Tunisia","2025-11-04","https://www.linkedin.com/jobs/view/4333989595",False,"","",""
"li-4333980541","linkedin","UI Test Engineer / User Interface Tester (web/mobile)","TRVL CODE","Sousse, Sousse, Tunisia","2025-11-03","https://www.linkedin.com/jobs/view/4333980541",False,"","",""
"li-4333950522","linkedin","Frontend Developer Next.js - React","TRVL CODE","Sousse, Sousse, Tunisia","2025-11-03","https://www.linkedin.com/jobs/view/4333950522",False,"","",""
"li-4333579798","linkedin","Software Engineer - Full Time - Remote","The Flex","Tunis, Tunis, Tunisia","2025-11-02","https://www.linkedin.com/jobs/view/4333579798",True,"","",""
"li-4333649422","linkedin","Backend Engineer – Full-time - Remote","The Flex","Tunis, Tunis, Tunisia","2025-11-02","https://www.linkedin.com/jobs/view/4333649422",True,"","",""
"li-4333157046","linkedin","QA Analyst","Blauwtrust Groep","Tunis, Tunisia","2025-10-31","https://www.linkedin.com/jobs/view/4333157046",False,"","",""
"li-4333338698","linkedin","Release Manager - Tunis","NeoXam","Ariana, Tunisia","2025-10-31","https://www.linkedin.com/jobs/view/4333338698",False,"","",""
"li-4333364351","linkedin","Architecte CLOUD GCP","INGELINE TECHNOLOGIES","Tunis, Tunis, Tunisia","2025-10-31","https://www.linkedin.com/jobs/view/4333364351",False,"","",""
"li-4312809668","linkedin","Software Engineer – GenAI & Automation","Medius","Tunis, Tunisia","2025-10-31","https://www.linkedin.com/jobs/view/4312809668",False,"","",""
"li-4172634473","linkedin","DevOps Engineer (In Lisbon)","Affinity","Tunis, Tunisia","2025-10-30","https://www.linkedin.com/jobs/view/4172634473",False,"","",""
