"id","site","title","company","location","date_posted","job_url","is_remote","min_amount","max_amount","currency"
"in-28b164eb0ad2d709","indeed","Senior DevOps Engineer","SuccessKPI","McLean, VA, US","2025-11-13","https://www.indeed.com/viewjob?jk=28b164eb0ad2d709",True,"","",""
"in-46125536db1b9e02","indeed","DevOps Developer II","Corelation Inc","San Diego, CA, US","2025-11-13","https://www.indeed.com/viewjob?jk=46125536db1b9e02",True,98345.0,115700.0,"USD"
"in-7489cc58226f1308","indeed","DevOps Engineer, Senior Advisor","Peraton","Laurel, MD, US","2025-11-13","https://www.indeed.com/viewjob?jk=7489cc58226f1308",False,176000.0,282000.0,"USD"
"in-dd169450a4a50884","indeed","Cloud Software Engineer, Advisor","Peraton","Laurel, MD, US","2025-11-13","https://www.indeed.com/viewjob?jk=dd169450a4a50884",False,176000.0,282000.0,"USD"
"in-60012961ec005624","indeed","DevOps Engineer Intern","BalanX-Bio","Remote, US","2025-11-13","https://www.indeed.com/viewjob?jk=60012961ec005624",True,"","",""
"in-d8d5b3e321ddc9aa","indeed","DevOps Engineer (IaC & Automation)","Atmosera","Remote, US","2025-11-13","https://www.indeed.com/viewjob?jk=d8d5b3e321ddc9aa",True,"","",""
"in-7c8a742458112338","indeed","DevOps Engineer (GitHub Migration Projects)","Atmosera","Remote, US","2025-11-13","https://www.indeed.com/viewjob?jk=7c8a742458112338",True,"","",""
"in-c7d3db288098f147","indeed","DevOps Engineer","Absolute Business Solutions Corp. (ABSc)","Bethesda, MD, US","2025-11-13","https://www.indeed.com/viewjob?jk=c7d3db288098f147",True,170000.0,225000.0,"USD"
"in-932bd640dd7dcab7","indeed","Specialist DevSecOps","L3Harris","Nashville, TN, US","2025-11-12","https://www.indeed.com/viewjob?jk=932bd640dd7dcab7",False,"","",""
"in-4207c75a963a3d1a","indeed","Cloud Infrastructure Engineer","TicketNetwork, Inc.","South Windsor, CT, US","2025-11-12","https://www.indeed.com/viewjob?jk=4207c75a963a3d1a",True,"","",""
"in-9127dbd75cd229d3","indeed","AWS Cloud Architect","Steampunk","McLean, VA, US","2025-11-12","https://www.indeed.com/viewjob?jk=9127dbd75cd229d3",False,130000.0,190000.0,"USD"
"in-06b3309a2033cc74","indeed","Technology Infrastructure Cloud Engineer","SWCA Environmental Consultants","US","2025-11-12","https://www.indeed.com/viewjob?jk=06b3309a2033cc74",True,79747.0,117514.0,"USD"
"in-d99734cded18a4fa","indeed","Devops Engineer with GCP exp – R01557894","Brillio LLC","Irving, TX, US","2025-11-12","https://www.indeed.com/viewjob?jk=d99734cded18a4fa",False,110000.0,120000.0,"USD"
