"id","site","title","company","location","date_posted","job_url","is_remote","min_amount","max_amount","currency"
"li-4346701907","linkedin","Full Stack Developer JS - EdTech","Paradox EN","","2025-12-30","https://www.linkedin.com/jobs/view/4346701907",False,"","",""
"li-4329601234","linkedin","Web Portal Developer (Internship)","SBS","Tunis, Tunisia","2025-12-29","https://www.linkedin.com/jobs/view/4329601234",False,"","",""
"li-4329526503","linkedin","Web Portal Developer (Internship)","SBS","Tunis, Tunis, Tunisia","2025-12-29","https://www.linkedin.com/jobs/view/4329526503",False,"","",""
"li-4346219976","linkedin","Senior Full Stack Developer JS - EdTech","Paradox EN","","2025-12-27","https://www.linkedin.com/jobs/view/4346219976",False,"","",""
"li-4322593565","linkedin","Senior Développeur Back-End JAVA 17 ou plus","Devoteam","Tunis, Tunis, Tunisia","2025-12-27","https://www.linkedin.com/jobs/view/4322593565",False,"","",""
"li-4297838152","linkedin","Développeur Senior FullStack JS ( Vue/React/Node)","Devoteam","Tunis, Tunis, Tunisia","2025-12-26","https://www.linkedin.com/jobs/view/4297838152",False,"","",""
"li-4328962404","linkedin","Senior Backend Engineer (B2B Contract)","Jobgether","","2025-12-23","https://www.linkedin.com/jobs/view/4328962404",False,"","",""
"li-4321084008","linkedin","RPA Developer Lead","TUI","Sousse, Tunisia","2025-12-20","https://www.linkedin.com/jobs/view/4321084008",False,"","",""
"li-4338948913","linkedin","Senior Frontend Developer","Oolab","Tunis, Tunisia","2025-12-19","https://www.linkedin.com/jobs/view/4338948913",False,"","",""
"li-4344481648","linkedin","DEVELOPPEUR FULL STACK SENIOR","RED TIC","Tunis, Tunis, Tunisia","2025-12-17","https://www.linkedin.com/jobs/view/4344481648",False,"","",""
"li-4344272186","linkedin","Ingénieur Backend Python / Go – avec compétences React (Tunisie)","Iguane Solutions","Tunis, Tunis, Tunisia","2025-12-16","https://www.linkedin.com/jobs/view/4344272186",False,"","",""
"li-4350020549","linkedin","Backend Developer Node.js+Typescript","TRVL CODE","Sousse, Tunisia","2025-12-14","https://www.linkedin.com/jobs/view/4350020549",False,"","",""
"li-4327293207","linkedin","Développeur PHP Senior (H/F)","DECADE","Tunis, Tunis, Tunisia","2025-12-12","https://www.linkedin.com/jobs/view/4327293207",False,"","",""
"li-4342439378","linkedin","Full-Stack Software Engineer","The Flex","Tunis, Tunis, Tunisia","2025-12-07","https://www.linkedin.com/jobs/view/4342439378",False,"","",""
