"id","site","title","company","location","date_posted","job_url","is_remote","min_amount","max_amount","currency"
"li-4335534541","linkedin","Développeur Full Stack Senior (Java JEE / Angular)","Sopra Steria","Tunis, Tunis, Tunisia","2025-11-19","https://www.linkedin.com/jobs/view/4335534541",False,"","",""
"li-4291096121","linkedin","Scientist","Infor","Tunis, Tunisia","2025-11-19","https://www.linkedin.com/jobs/view/4291096121",False,"","",""
"li-4317807328","linkedin","Senior Java and Angular Developer (French speaker) - Relocation to Portugal","Aubay Portugal","Tunis, Tunisia","2025-11-19","https://www.linkedin.com/jobs/view/4317807328",False,"","",""
"li-4337000760","linkedin","Data Engineer","INGELINE TECHNOLOGIES","Tunis, Tunisia","2025-11-18","https://www.linkedin.com/jobs/view/4337000760",False,"","",""
"li-4323035163","linkedin","2 -Specialist Test Technology Engineer MN","LEONI TUNISIA","Mateur, Bizerte, Tunisia","2025-11-18","https://www.linkedin.com/jobs/view/4323035163",False,"","",""
"li-4336880999","linkedin","Senior Frontend Developer – Next.js / React / UI Perfectionist","TRVL CODE","Sousse, Sousse, Tunisia","2025-11-18","https://www.linkedin.com/jobs/view/4336880999",False,"","",""
"li-4341197981","linkedin","Senior Angular Front-End Developer H/F","EY","Tunis, Tunisia","2025-11-18","https://www.linkedin.com/jobs/view/4341197981",False,"","",""
"li-4336650614","linkedin","Software Engineer Specialist","FIS","Ariana, Ariana, Tunisia","2025-11-17","https://www.linkedin.com/jobs/view/4336650614",False,"","",""
"li-4336741128","linkedin","Développeur PHP/Laravel","INGELINE TECHNOLOGIES","Tunis, Tunisia","2025-11-17","https://www.linkedin.com/jobs/view/4336741128",False,"","",""
"li-4340848410","linkedin","Développeur Web Junior (Bac+3) – Contrat SIVP","Cercina Studio","Lac 1, Tunis, Tunisia","2025-11-16","https://www.linkedin.com/jobs/view/4340848410",False,"","",""
"li-4336179033","linkedin","Développeur Confirmé C# .NET Core","Vivantro","","2025-11-15","https://www.linkedin.com/jobs/view/4336179033",False,"","",""
"li-4336235152","linkedin","NLP Engineer","Odixcity Consulting","","2025-11-15","https://www.linkedin.com/jobs/view/4336235152",False,"","",""
"li-4336294962","linkedin","Cloud Engineer","Odixcity Consulting","","2025-11-15","https://www.linkedin.com/jobs/view/4336294962",False,"","",""
"li-4317205445","linkedin","Développeur(se) Full Stack (Laravel / React / Angular) Sénior","SEGULA Technologies","Tunis, Tunis, Tunisia","2025-11-15","https://www.linkedin.com/jobs/view/4317205445",False,"","",""
